input	given	family	orcid	other-names	employment	education	works	peer-reviews	funding	emails
Jung Lee	Jung Eun	LEE	0009-0005-9226-1543	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Soo	Lee	0000-0002-3807-4377	0.0	1.0	1.0	32.0	3.0	0.0	
Jung Lee	yoo jung	lee	0000-0003-4361-1170	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Yeon Jung	Lee	0000-0002-6149-8661	0.0	0.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung Eun	Lee	0000-0003-0641-5269	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Eun	Lee	0000-0003-2692-2356	0.0	0.0	1.0	5.0	0.0	0.0	
Jung Lee	Je Jung	Lee	0000-0002-0606-2304	0.0	1.0	0.0	4.0	0.0	0.0	
Jung Lee	Jung Hyun	Lee	0000-0002-1706-8015	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Hwan	Lee	0000-0003-1027-661X	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung A 	Lee	0000-0002-1011-4234	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	In-Jung	Lee	0000-0002-6733-5011	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Eun	Lee	0000-0003-0184-3440	0.0	0.0	0.0	5.0	1.0	0.0	
Jung Lee	Jung Min	Lee	0000-0003-0023-8791	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Joo	Lee	0000-0001-8159-8662	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	YU JUNG	LEE	0000-0002-9443-0647	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Ha Jung	Lee	0000-0002-3472-2955	0.0	0.0	0.0	3.0	0.0	0.0	
Jung Lee	Su Jung	Lee	0000-0001-7472-0172	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Gyo	Lee	0000-0002-6854-3445	0.0	0.0	0.0	4.0	0.0	0.0	
Jung Lee	Jung-Jun	Lee	0000-0003-3718-5136	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Jung-Ku	LEE	0000-0003-4440-0498	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Moo	Lee	0000-0002-9332-798X	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hyun	Lee	0000-0001-7141-4532	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	So Jung	Lee	0000-0002-2282-4030	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Tak	Lee	0000-0002-2690-8813	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	won jung	lee	0009-0002-9426-0569	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Woo	Lee	0000-0002-0692-7742	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	EUN-JUNG	LEE	0000-0002-7294-1219	0.0	1.0	1.0	1.0	0.0	0.0	
Jung Lee	Hyun Jung	Lee	0000-0002-5020-1690	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jay-Jung	Lee	0000-0001-7689-2082	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Hye Jung	Lee	0009-0006-9737-0949	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Seok	Lee	0000-0003-3412-8742	0.0	0.0	0.0	3.0	0.0	0.0	
Jung Lee	Jung Min	Lee	0000-0001-9608-0671	0.0	0.0	0.0	5.0	1.0	0.0	
Jung Lee	YOON JUNG	LEE	0000-0003-1158-6126	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Cheol Jung	Lee	0000-0002-0647-4448	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hwa	LEE	0000-0001-8936-2988	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Ki Jung	Lee	0000-0002-7881-5459	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung-su	Lee	0000-0002-2601-2494	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Yoon-Jung	‍LEE	0000-0001-6000-2444	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	YOU JUNG	LEE	0000-0002-5358-4201	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Ju	Lee	0000-0001-9549-3036	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG-A	LEE	0000-0001-9724-2417	0.0	0.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung Mo	Lee	0000-0002-9972-8506	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Hyun Jung	Lee	0000-0002-7748-7596	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Mi	Lee	0000-0002-9467-7682	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Yun-Jung	Lee	0009-0008-6606-146X	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG WOO	LEE	0000-0003-0568-2883	0.0	1.0	0.0	6.0	2.0	0.0	
Jung Lee	MIN JUNG	LEE	0000-0001-7087-7244	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG WOO	LEE	0000-0002-5467-7469	0.0	0.0	0.0	5.0	0.0	0.0	
Jung Lee	Chan-Jung	Lee	0000-0002-2905-6804	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Hyun Jung	Lee	0000-0001-9713-490X	0.0	1.0	3.0	1.0	0.0	0.0	
Jung Lee	Hyo-Jung	Lee	0009-0001-6585-3894	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung min	Lee	0000-0001-6852-1548	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hyun	Lee	0000-0003-4538-1508	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Yun Jung	Lee	0000-0002-4395-5283	0.0	2.0	0.0	0.0	0.0	0.0	
Jung Lee	Peng Jung	Lee	0000-0002-5155-4842	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Sun Jung	Lee	0000-0003-4423-2447	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-kyu	LEE	0000-0002-6084-9183	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Won	Lee	0000-0002-9182-6478	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Jung-Ha	Lee	0000-0002-8772-8250	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Soo Jung	 Lee	0000-0002-5752-7482	0.0	0.0	0.0	5.0	0.0	0.0	
Jung Lee	Jung Hyun	Lee	0000-0002-0496-9826	0.0	1.0	0.0	26.0	0.0	0.0	
Jung Lee	Key Jung	Lee	0009-0006-4071-8043	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Hyun-Jung	Lee	0000-0001-9329-1131	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Min	LEE	0000-0003-2333-740X	0.0	0.0	0.0	3.0	0.0	0.0	
Jung Lee	Hyo-Jung	Lee	0000-0003-3943-2671	0.0	5.0	1.0	22.0	0.0	0.0	
Jung Lee	EUN JUNG	LEE	0000-0002-0931-9662	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Jung Hwan	Lee	0000-0001-5819-4942	0.0	1.0	0.0	1.0	0.0	0.0	
Jung Lee	Yeon-jung	Lee	0009-0003-3799-0781	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Youn jung 	Lee	0009-0009-3232-5559	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	HYO JUNG	LEE	0000-0002-1179-0373	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Yeon	LEE	0000-0001-7427-0423	1.0	0.0	1.0	0.0	0.0	0.0	
Jung Lee	Hye Jung	Lee	0000-0002-3851-4432	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Hyun Jung	Lee	0000-0002-9404-0200	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Jun	Lee	0000-0002-5870-6140	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Hsin-Jung	Lee	0000-0001-6376-3521	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hoon	Lee	0000-0001-7305-1528	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Uck	Lee	0000-0001-5767-2703	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Hoon	Lee	0000-0001-9989-243X	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Woo	Lee	0000-0002-1860-473X	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Yeon	LEE	0000-0002-0610-3962	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Jae	Lee	0000-0002-4478-1772	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Su-jung	Lee	0000-0002-1847-5034	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Ae	Lee	0000-0003-0186-8672	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG HOON	LEE	0000-0003-2268-1540	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hwan	Lee	0000-0001-7799-4873	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Eun	Lee	0000-0001-6439-8087	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Ah	Lee	0000-0001-6698-1962	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Eun	Lee	0000-0003-2588-3404	0.0	0.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung-A	Lee	0000-0001-5770-7494	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Yong	Lee	0000-0001-5247-4804	0.0	1.0	2.0	0.0	0.0	0.0	
Jung Lee	Min-Jung	Lee	0000-0003-0746-0678	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-hyun	Lee 	0000-0001-8910-7880	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Hyun-Jung	Lee	0000-0001-8625-3524	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	So Jung	Lee	0000-0003-3269-0141	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Soo	Lee	0000-0003-2848-6658	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung-Hee	Lee	0000-0002-4785-3006	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Ho	Lee	0000-0002-2575-0655	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung A	Lee	0000-0002-5934-9894	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Jung-Gyung	Lee	0009-0009-9533-134X	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Jung Lee	Yeon-Jung	Lee	0009-0005-4655-7220	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Hwa jung	Lee	0000-0002-9506-4511	0.0	0.0	0.0	6.0	0.0	0.0	
Jung Lee	Jung-Jin 	Lee	0000-0002-6575-7210	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hoon	Lee	0000-0001-9243-7098	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Huyn jung	Lee	0000-0001-9942-5399	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Yi	Lee	0000-0002-8018-2734	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hsiang	Lee	0000-0002-5977-1681	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung Hoo	Lee	0000-0001-6695-602X	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung-Keun 	Lee	0000-0002-0003-4003	0.0	2.0	0.0	1.0	0.0	0.0	
Jung Lee	JUNG JIN	LEE	0009-0005-9733-7439	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	jung hwa	lee	0000-0002-4454-9180	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Mi	Lee	0000-0003-1231-582X	0.0	0.0	0.0	33.0	2.0	0.0	
Jung Lee	Jung Min	Lee	0000-0002-0296-5733	0.0	1.0	0.0	3.0	0.0	0.0	1.0
Jung Lee	Jung-Ho	Lee	0000-0002-6731-3111	0.0	2.0	2.0	85.0	117.0	0.0	
Jung Lee	Min-jung	Lee	0000-0001-6372-2201	0.0	2.0	3.0	7.0	1.0	0.0	
Jung Lee	Jung-Min	Lee	0009-0008-7435-4246	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Beom	Lee	0000-0003-0950-6748	0.0	0.0	0.0	0.0	1.0	0.0	
Jung Lee	jung hun	Lee	0000-0002-8248-8163	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Woo	Lee	0000-0002-0827-3957	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Gyu	Lee	0000-0002-2446-7348	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Soo-Jung	Lee	0000-0002-1299-5266	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung Jun	Lee	0000-0002-2848-3580	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	JUNG-AH	LEE	0000-0003-3699-3609	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Soo Jung	Lee	0000-0003-1202-3974	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Eun Jung	Lee	0000-0002-0214-5452	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	HYUN JUNG	LEE	0000-0002-4955-6697	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	CHIH-JUNG	LEE	0000-0002-6674-2555	0.0	0.0	1.0	0.0	0.0	0.0	
Jung Lee	JUNG YUN	LEE	0000-0002-7715-3297	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Woo	Lee	0000-0002-0370-8800	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hoon	Lee	0000-0003-3432-4487	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Cheon	Lee	0000-0002-5897-257X	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Hoon	Lee	0000-0002-3190-6644	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG JIN	LEE	0000-0002-4950-4475	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Gun	Lee	0000-0003-3488-9699	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Won	Lee	0000-0003-4337-4291	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Woo	Lee	0000-0001-8766-2610	0.0	1.0	2.0	0.0	0.0	0.0	
Jung Lee	Jung suk	Lee	0000-0002-0583-9011	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hyun	Lee	0000-0003-0206-8837	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Soo Jung	Lee	0000-0003-1512-9125	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Soo	Lee	0000-0002-1703-0332	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Yun-Jung	Lee	0000-0001-9287-3789	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Suk	Lee	0000-0002-6602-0384	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Joo	Lee	0000-0002-8078-345X	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung Rye	Lee	0000-0003-1504-0788	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Su	Lee	0000-0002-0949-943X	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hyun	Lee	0000-0001-7303-690X	0.0	0.0	0.0	2.0	0.0	0.0	
Jung Lee	Jung-Bok	Lee	0000-0003-4919-9412	0.0	0.0	0.0	4.0	0.0	0.0	
Jung Lee	Jung Eun	Lee	0000-0002-5805-9158	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Eun-Jung	Lee	0000-0002-0601-7490	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung Cheol	Lee	0009-0009-1018-1865	0.0	0.0	2.0	0.0	0.0	0.0	
Jung Lee	Jung-Hun	Lee	0000-0002-0341-1353	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Koo	Lee	0000-0002-4152-0454	0.0	0.0	0.0	4.0	0.0	0.0	
Jung Lee	YEN-JUNG	LEE	0000-0002-6713-413X	0.0	1.0	1.0	1.0	0.0	0.0	
Jung Lee	Jung hyun	Lee	0000-0001-5408-4965	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Jung-Hun	Lee	0000-0003-3687-4888	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	jung hwan	lee	0000-0002-2210-4834	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Yun Jung	Lee	0009-0009-9898-3466	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Seung	Lee	0000-0003-4227-9903	0.0	1.0	1.0	2.0	0.0	0.0	
Jung Lee	Min-Jung	LEE	0000-0002-1190-0384	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Ho	Lee	0000-0001-6818-2136	0.0	0.0	1.0	1.0	0.0	0.0	
Jung Lee	Jung-Ro	Lee	0000-0002-2680-3405	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Mo	Lee	0000-0002-7490-3427	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Jung-Hoon	Lee	0000-0002-7622-6546	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Yoon Jung	Lee	0009-0006-8847-0964	0.0	0.0	1.0	0.0	0.0	0.0	
Jung Lee	Hyo-Jung	Lee	0000-0002-4533-3701	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Eun-Jung	Lee	0000-0002-4803-6198	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Mi Jung	Lee	0000-0002-0012-6549	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG HOON	LEE	0000-0002-9986-177X	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG SOO	LEE	0000-0003-3856-8972	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Jung-Jin	Lee	0000-0002-8314-1348	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Min	Lee	0000-0001-8801-1027	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	JUNG-HWAN	LEE	0000-0003-4826-0648	0.0	1.0	1.0	21.0	0.0	0.0	
Jung Lee	Woo Jung	Lee	0000-0001-7347-2605	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Pil	Lee	0000-0001-5487-342X	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	HSIN-JUNG	LEE	0009-0007-6088-6359	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Jin	Lee	0000-0003-1025-8980	0.0	1.0	1.0	4.0	0.0	0.0	
Jung Lee	Min Jung	Lee	0000-0002-7701-0405	0.0	0.0	2.0	1.0	0.0	0.0	
Jung Lee	Jung-Ok	LEE	0000-0002-7894-8761	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG HYUN	LEE	0000-0002-2842-0344	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Hae Jung	Lee	0009-0002-0261-1334	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-sang	Lee	0000-0001-5423-3772	0.0	0.0	0.0	3.0	0.0	0.0	
Jung Lee	EUN JUNG	LEE	0000-0002-2933-2995	0.0	0.0	0.0	4.0	0.0	0.0	
Jung Lee	Jung-Tae	LEE	0000-0003-1848-0666	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hwa	Lee	0000-0002-8609-0638	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Han	Lee	0000-0001-6728-0578	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Yoon Jung	Lee	0000-0003-2229-1876	0.0	1.0	2.0	13.0	0.0	4.0	
Jung Lee	Jung An	Lee	0000-0001-9106-3805	1.0	0.0	0.0	7.0	0.0	0.0	
Jung Lee	Jung-Eun	Lee	0009-0000-0194-495X	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	JAE JUNG	LEE	0009-0000-2883-7599	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung eun	Lee	0000-0002-3962-7041	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-hwan	Lee	0000-0001-7352-2481	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	jung jeung	lee	0000-0003-0148-7108	0.0	1.0	1.0	2.0	0.0	0.0	
Jung Lee	HYE JUNG	LEE	0000-0003-4897-1220	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Nam	Lee	0000-0001-8907-1806	0.0	0.0	2.0	0.0	0.0	0.0	
Jung Lee	Sue Jung	Lee	0000-0003-1279-0110	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Joon	Lee	0000-0003-0835-7381	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Hyun	Lee	0000-0002-1373-8907	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hyeon	Lee	0009-0001-4827-7362	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	jung pil	Lee	0000-0002-6216-0419	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	hyo jung	lee	0000-0003-3001-3534	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hwan	Lee	0000-0002-8815-4092	0.0	0.0	0.0	4.0	0.0	0.0	
Jung Lee	Jung Hee	Lee	0000-0002-2771-659X	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Woo	Lee	0000-0001-6942-9655	0.0	0.0	0.0	4.0	0.0	0.0	
Jung Lee	JUNG MIN	LEE	0009-0009-2648-6110	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Ju	Lee	0000-0001-8173-0547	0.0	2.0	2.0	4.0	0.0	0.0	
Jung Lee	Jung-Eum	Lee	0000-0003-4860-8683	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	JUNG IM	LEE	0009-0000-3652-1957	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Ran	Lee	0000-0003-4944-6364	0.0	0.0	0.0	3.0	0.0	0.0	
Jung Lee	So Jung	Lee	0000-0003-0036-1538	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Ha	Lee	0000-0002-2563-2202	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Ho	Lee	0000-0002-9000-4018	0.0	2.0	1.0	3.0	0.0	0.0	
Jung Lee	Yeon Jung	Lee	0000-0002-5624-0447	0.0	1.0	0.0	3.0	0.0	0.0	
Jung Lee	Min Jung	Lee	0000-0001-7813-3936	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-hoon	Lee	0000-0002-7206-1780	0.0	1.0	0.0	55.0	0.0	3.0	
Jung Lee	Soo Jung	Lee	0000-0001-7126-6218	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Youn-Jung	Lee	0000-0002-2490-2485	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Kuan Jung	Lee	0009-0004-6758-0000	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Eun	Lee	0000-0003-4084-4489	1.0	1.0	2.0	7.0	0.0	0.0	
Jung Lee	Hyo Jung	LEE	0009-0006-1178-6872	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hee	Lee	0009-0006-5468-8682	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	HYUN JUNG	LEE	0009-0000-7918-1788	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Hye	LEE	0000-0002-8507-461X	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Chan	Lee	0000-0003-2609-1310	0.0	0.0	0.0	8.0	0.0	0.0	
Jung Lee	JUNG EUN	LEE	0009-0004-5832-702X	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Lim	Lee	0000-0003-1980-7130	0.0	3.0	1.0	2.0	0.0	0.0	
Jung Lee	Jung Hun	Lee	0000-0002-7221-6455	0.0	1.0	0.0	8.0	0.0	0.0	
Jung Lee	Jung Hoon	Lee	0009-0005-9922-3486	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Hyo-Jung	Lee	0009-0006-7610-7498	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Min	Lee	0000-0003-3551-8638	0.0	0.0	0.0	4.0	0.0	0.0	
Jung Lee	YEOUN JUNG	LEE	0000-0002-3747-0271	0.0	1.0	1.0	0.0	0.0	0.0	
Jung Lee	Jung-Bok	Lee	0000-0002-6633-7162	0.0	0.0	0.0	3.0	0.0	0.0	
Jung Lee	Jung Su	Lee	0000-0002-7019-8804	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	YUN JUNG	LEE	0000-0002-8110-6127	0.0	1.0	3.0	1.0	0.0	0.0	
Jung Lee	Jung Dae	Lee	0000-0003-0714-8596	0.0	0.0	0.0	4.0	0.0	0.0	
Jung Lee	Hyun Jung	Lee	0000-0002-4410-0308	2.0	0.0	3.0	11.0	0.0	7.0	
Jung Lee	Jung Sul	Lee	0009-0000-0392-4848	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG MIN	LEE	0009-0000-7331-4834	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG AH	LEE	0000-0001-9891-5134	0.0	1.0	0.0	29.0	0.0	0.0	
Jung Lee	Je-Jung	Lee	0000-0001-8439-2790	0.0	1.0	1.0	18.0	0.0	1.0	2.0
Jung Lee	Jung-Hyun	Lee	0009-0007-4576-4273	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Su	Lee	0000-0001-5644-0150	0.0	1.0	0.0	7.0	0.0	0.0	
Jung Lee	Hyo Jung	Lee	0000-0002-8024-2274	0.0	2.0	1.0	0.0	2.0	0.0	
Jung Lee	Eun-Jung	Lee	0000-0001-7575-7890	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Chia Jung 	Lee	0000-0001-9723-1005	1.0	0.0	2.0	0.0	0.0	0.0	
Jung Lee	Jung Min	Lee	0000-0002-9155-3780	0.0	1.0	0.0	1.0	0.0	0.0	
Jung Lee	jung eun	lee	0000-0003-3472-1968	0.0	0.0	0.0	1.0	0.0	0.0	
Jung Lee	Jung Chang	Lee	0009-0001-5328-4487	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	MENG-JUNG	LEE	0000-0002-4896-2298	0.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	JUNG AH	LEE	0000-0002-5837-3008	0.0	1.0	1.0	7.0	0.0	0.0	
Jung Lee	Won Jung	Lee	0000-0003-0302-2072	0.0	1.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung-Ho	Lee	0000-0003-4930-7583	1.0	0.0	0.0	0.0	0.0	0.0	
Jung Lee	Jung Ah	Lee	0009-0005-4030-3609	0.0	0.0	0.0	0.0	0.0	0.0	
