"Authors, Primary",Title Primary,organism,where,Pub Year,Keywords,Abstract,Link
"Weiss, Amelia","Sea Urching Biomechanics: Morphological and behavioral adaptations to heavy flow conditions in Mo'orea, French Polynesia",invert,marine,2012,"urchin, echinodermata, biomechanics, behavior, species distribution, water flow conditionss ","This study investigates the biomechanics, behavior, and distribution of urchin species in Mo’orea, French Polynesia to understand how they withstand hydrodynamic forces. Field surveys examined the flow distribution of four species: E. mathaei, Tripneustes gratilla, Diadema savignyi  and Echinotrix calamaris. Flow tests were conducted on two Echinometra mathaei  subspecies to measure spine angle under no flow and heavy flow conditions. Short spine urchin species were found in significantly higher flows than were long spine urchin species. Experimental findings revealed that E. mathaei type B temporarily adopts a more streamlined shape in response to increasing flow velocity, while E. mathaei  type A does not. Understanding the streamlining behavior and other strategies for surviving hydrodynamic conditions is necessary in order to examine these organisms’ role in their environment.",
"West, Elaine","Adaptive regeneration of Ophicoma scolopendrina (Echinodermata: Ophiuroidea) under two feeding treatments in Moorea, French Polynesia",invert,marine,2012,"ophiuroid, echinodermata, feeding, regeneration, intact arm, regenerating arm autonomy, brittle star, Ophiocoma scolopendrina","Regeneration is common amongst all classes of echinoderms and is easily studied in the laboratory with abundant and tractable ophiuroid specimens. However, ophiuroid regeneration rates, both between species and within the same species, can exhibit uncommonly high variation even under identical laboratory conditions. Eighty four Ophiocoma scolopendrina  (Lamarck 1816), a brittle star which extends its arms out into the water column to suspension feed, were collected from the upper-intertidal zone of rocky beaches on the island of Moorea, French Polynesia for laboratory regeneration experiments. To determine the effects of position of autotomy and feeding level on regenerated length and differentiation of new biomass, two treatments were performed: an amputation treatment either 5 mm from the central disk or 30 mm from the distal tip; and a feeding treatment of high-food or low-food. Additionally, a field survey was conducted to assess predation pressure and autotomy of O. scolopendrina  in upperintertidal zones. This study demonstrated that O. scolopendrina  are well adapted to the high levels of sub-lethal predation at the arm tips by quickly resuming the ability to detect predators via photo and chemoreception. The results of this investigation can help to better inform calculations of energy cycling in ecosystems and has potential applications for further research on the connections between ophiuroid life-history and predation pressure on variable regeneration rates",
"Wormser, Vanessa R.","Intertidal zonation of two gastropods, Nerita plicata and Morula granulata, in Moorea, French Polynesia",invert,marine,2012,"community structure; gastropod; zonation; intertidal;morphometrics; Morula granulata; Nerita plicata; Mo'orea, French Polynesia",,
"Wu, Jasper G.","The composition of bryophyte comunities on limestone versus basalt substrates in coastal and mid-elevation forests of Mo'orea, French Polynesia",plant,terrestrial,2012,"Mo'orea, French Polynesia; plants; bryophyte; bioindicators; abiotic; substrate; limestone; basalt; soil pH; buffering capacity; phosphate; water; distribution; Ectropothecium sandwichense; Floribundaria aerunginosa; Calymperes aongstroemii; Taxithelium vernieri; Ectropothecium sodale",,
"Ardeshiri, Roxanne S. ","PATTERNS OF INSECT HERBIVORY ON INDIGENOUS HIBISCUS TILIACEUS AND INTRODUCED HIBISCUS ROSA-SINENSIS ACROSS HUMAN IMPACTED AREAS IN MO'OREA, FRENCH POLYNESIA",insect,Terrestrial,2011,"herbivory; insects; Hibiscus tiliaceus; Hibiscus rosa-sinensis; anthropogenic; fragmentation; Mo'orea, French Polynesia; agriculture; edge effect",,
"Bates, Jennifer",FORAGING BEHAVIOR PARTITIONING AND INTERACTIONS OF TWO ISLAND INVASIVE BIRDS: THE COMMON MYNA (ACRIDOTHERES TRISTIS) AND THE RED-VENTED BULBUL (PYCNONOTUS CAFER),bird,Terrestrial,2011,"invasive species; partitioning; foraging behavior; Acridotheres tristis; Pycnonotus cafer; Mo’orea, French Polynesia; Passeriformes; species interactions",,
"Chaves, Brandy","Pollination biology and effects of color change on Lantana camara (Verbanaceae) invasion on Mo'orea, French Polynesia",Insect,Terrestrial,2011,"Lantana camara; invasion; color change; Mo’orea; pollination, facilitation",,
"Chuang, Angela",SIZE AND MOTHERHOOD OF THE SPIDER PHOLCUS ANCORALIS (ARANEAE: PHOLCIDAE) AFFECTS WHIRLING AND OTHER DEFENSIVE BEHAVIORS,invert,Terrestrial,2011,spider; size; mother; defense; whirling; Pholcus ancoralis; Pholcidae; Mo’orea ,,
"Flynn, Sierra M.",FLOWING WITH THE TIDE: EPIPHYTIC HOST-SPECIFICITY AND PHENOTYPIC PLASTICITY OF THE BROWN ALGA PADINA BORYANA,algae,marine,2011,algae; Padina boryana; epiphytes; phenotypic plasticity; host-specificity; French Polynesia,,
"Frossard, Bryan A. ",THE ANTI-PREDATOR BEHAVIOR OF THE BLACK LONGSPINE URCHIN (Diadema savignyi): SPATIAL VISION AND THE ROLE OF LIGHT IN EMERGENCE,invert,marine,2011,Diadema; Diadema savignyi; sea urchins; photoreceptors; spatial vision; diel rhythms; nocturnal emergence; mechanisms of anti-predator defense; emergence,,
"Furst, Emmanuelle A. ","NETWORK ANALYSIS OF THE TAHITIAN RAY (HIMANTURA FAI) IN MO'OREA, FRENCH POLYNESIA: IS THERE SOCIAL STRUCTURE TO THE FEEDING FRENZY? ",fish,marine,2011,"elasmobranch; ray; Himantura fai; network analysis; social structure; Mo'orea, French Polynesia; feeding excursions; animal behavior ",,
"Fyhrie, Katherine J.","A RETROSPECTIVE EXPLORATION INTO MA’OHI ARBORICULTURE: THE LEGACY OF PREHISTORIC LAND USE ON THE SPATIAL DISTRIBUTION OF THREE TREE SPECIES ON MO’OREA, FRENCH POLYNESIA",plant,Terrestrial,2011,"prehistoric land use; Inocarpus; Neonauclea; Aleurites; tree communities; Mo’orea, French Polynesia; Ma’ohi",,
"Giraud, Camille","INTRASPECIFIC COMPETITION, STEALING AND PLACEMENT OF THE SYMBIOTIC SEA ANEMONE CALLIACTIS TRICOLOR BY THE HERMIT CRAB DARDANUS PEDUNCULATUS",invert,marine,2011,Mo'orea; French Polynesia; hermit crab; Dardanus pedunculatus; sea anemone; Calliactis tricolor; mutualism; intraspecific competition; placement; behavior,,
"Hamb, Alexandra M.","DEFENSE OF A MULTI FUNCTIONAL TERRITORY AGAINST INTERSPECIFIC INTRUDERS BY THE DAMSELFISH STEGASTES NIGRICANS (PISCES, POMACENTRIDAE)",fish,marine,2011,"reef fish; Stegastes nigricans; Pomacentridae; interspecific aggression; Mo’orea, French Polynesia; territoriality ",,
"Hann, Courtney H.","INFLUENCE OF CURRENT SPEED, SUBSTRATE, AND PLANKTON ON THE DISTRIBUTION OF SUSPENSION FEEDERS IN MO’OREA, FRENCH POLYNESIA",invert,marine,2011,"sessile, filter feeder, water flow, detritus, coral reef, food web, primary production",,
"Hershey, Michelle A. ",Dominance Discovery Tradeoff Observed in Invasive Ant Species S. geminata and P. longicornis,insect,Terrestrial,2011,"Invasive ants; community structure; Discovery Dominance, Marquesas, French Polynesia; Invasive community structure , Tradeoff",,
"Hubner, Gwen","NUDIBRANCH NEIGHBORHOOD: THE DISTRIBUTION OF TWO NUDIBRANCH SPECIES (CHROMODORIS LOCHI AND CHROMODORIS SPP.) IN COOK’S BAY, MO’OREA, FRENCH POL YNESIA",invert,marine,2011,"nudibranchs; Chromodoris lochi; distribution; behavior; environment Mo’orea, French Polynesia",,
"Liew, Qi","EFFECTS OF WEB VARIATION ON PREY CAPTURE IN TANGAROA TAHITIENSIS (ARANEAE:ULOBORIDAE) SPIDERS AND THE INFLUENCE OF SUSBTRATE, SPIDER SIZE, AND MATERNAL STATE ON WEB CHARACTERISTICS",invert,Terrestrial,2011,"arthropods; Tangaroa tahitiensis; Uloboridae; orb-web; Mo’orea, French Polynesia; intraspecific variation; predation; foraging strategy; reproduction",,
"Olliff, Eric R. ","Symbiosis of the sea star shrimp (Periclimenes soror) and cushion star, (Culcita novaeguineae): host fidelity, host finding, and benefits",invert,marine,2011,"symbiosis; shrimp; sea star; Periclimenes soror; Culcita novaeguineae, host fidelity; orientation; cryptic coloration; protection from predators; alimentation; Mo’orea, French Polynesia ",,
"Parkhouse, Tess A.","BEHAVIORAL SYNDROMES IN JUVENILE DASCYLLUS TRIMACULATUS (THREE-SPOT DASCYLLUS) IN MO’OREA, FRENCH POLYNESIA: INDIVIDUAL VARIATION IN SHYNESS/ BOLDNESS",fish,Terrestrial,2011,"animal behavior; Dascyllus trimaculatus; behavioral syndromes; individual variations; bold/shy continuum; Mo’orea, French Polynesia",,
"Post, Jessica",THE VISUAL CUES USED BY THE LEMON PEEL ANGELFISH (CENTROPYGE FLAVISSIMA) TO DETERMINE THREAT,fish,marine,2011,visual cues; determining threat; hierarchical cues; Centropyge flavissima; lemon peel angelfish,,
"Shea, Alessandra","CORAL HEALTH AND DISEASE: A COMPARISON OF COOK’S AND OPUNOHU BAYS IN MOOREA, FRENCH POLYNESIA ",coral,marine,2011,"coral reef health; Porites; Porites trematodiasis; Mo’orea, Cook’s Bay; Opunohu Bay",,
"Thayer, Lesley K. ","An independently evolved mutualism among ants (Myrmicinae pheidole terramorium and Paratrechina longicornis), sea hibiscus (Hibiscus tiliaceus) and hemiptera: an invader-invader mutualism and invasion meltdown",insect,Terrestrial,2011,mutualism; arthropods; Myrmicinae Pheidole terramorium; Paratrechina longicornis; Hibiscus tiliaceus; facilitation; invasion meltdown; Mo’orea; French Polynesia ,,
"Wong, Benjamin J. ","Effects of an invasive tree species (Falcataria moluccana) on understory diversity in Mo'orea, French Polynesia",plant,Terrestrial,2011,"invasives, community ecology, Falcataria, invasive impacts, Mo’orea, diversity",,
"Yokum, Hannah","The effect of local propagules on plant recolonization in tropical forest ecosystems in Mo'orea, French Polynesia",plant,Terrestrial,2011,"recolonization; propagules; restoration; regeneration; Mo’orea, French Polynesia ",,
"Boyle, Carrie","Just passing through? The effects of a boat channel on a coral reef community in Mo'orea, FP",coral,marine,2010,,,
"Butler, Jennifer","Heterogeneity in algal communities among intertidal embayments at Mout Tiahura, Mo'orea",algae,marine,2010,,,
"Chang, Yanni Michlle","Occurrence of Aedes moquito disease vectors on Mo'orea, FP",insect,Terrestrial,2010,,,
"Dugan, Jessica Ann","Diadromous neritid snails: How distance from ocean, water, veloicty, and location on substrate shapes stream communities",invert,marine,2010,,,
"Feng, Chris","The effects of soil type on the aundance and distribution of native and introduced woody plants in Mo'orea, FP: Evaluating differences between habitats of mountain ranges",plant,Terrestrial,2010,,,
"Gacnik, Annika",The effects of competitive interacctions on non-normal pigmentation in Porites coral,coral,marine,2010,,,
"Kelly-Garrick, Caitlin","Niche diversification of Conus in Mo'orea, FP: Effects of substrate prefrerence on habitat selection",invert,marine,2010,,,
"Lau, Sabina",The behaviors of two anemonefish,fish,marine,2010,,,
"Leger, Charlotte Heirani",White sand beaches: Benign tourist attraction or harmful distrubance to the reef,coral,marine,2010,,,
"Leiboff, Samuel","The interaciton of lifecycle and ecology in Ventricaria ventricosa (Chlorophyta, Siponocladales) in lagoon habitats of Mo'orea, FP",algae,marine,2010,,,
"Letchworth, Robert","Life on the Edge: Cyanobacteria communities in limestone pools and embayments on Motu Tiahura, Mo'orea",microbe,Terrestrial,2010,,,
"Maher, Lani","The distribution and demography of relict partulid snails on Mo'orea, FP: Back from the Brink of Extinction",invert,Terrestrial,2010,,,
"Mai, Quynh Nhu Ranitea",Effect of urbanizationa dn architectural style on gekkonid lizard population dynamics,vertebrate,Terrestrial,2010,,,
"Mulherin, Kelsey",Gall distribution across leaves and plants and implicatios for ovipositing preferences on gall-forming psyllids,insect,Terrestrial,2010,,,
"Nishimura, Joanna","Paleoecology and paleoentomology of 'Opunohu Vallye, Mo'orea",archeology,Terrestrial,2010,,,
"Phuong, Mark","Solar powered slugs: Biology of sacoglassans on Mo'orea, FP",invert,marine,2010,,,
"Starrs, Carlin","Gardens gone wild: Human impacts on forest structure and regeneration on Mo'orea, French Polynesia",plant,Terrestrial,2010,,,
"Thomas, Eric","Effect of competitive interaction on the micro-scale distribution of two co-occuring invasive ants on Mo'orea, FP",insect,Terrestrial,2010,,,
"Tribull, Carly",Tiny and annoying: Diptera populations in the forests of Mo'orea,insect,Terrestrial,2010,,,
"Valiente, Chanel Alexis","The invasion ecology of the plant Leucaena leucocephala on Mo'orea, FP",plant,Terrestrial,2010,,,
"Williams, Lauren",Comparing the abundance of fished invertebrates in Marine Protected Areas and unprotected areas around Mo'orea,invert,marine,2010,,,
"Yang, Jennifer","An ecological and bioprospecting study of orchids in a phylogenetic context on Mo'orea, French Polynesia",plant,Terrestrial,2010,,,
"Ahlgren,Chris","Survivorship of Sophora tomentosa on the reef islands of Mo'orea, French Polynesia",plant,Terrestrial,2009, , ,
"Borland,Trisha",Cordyline fruticosa: the distribution and continuity of a sacred plant,plant,Terrestrial,2009, , ,
"Chan,Elliot","Opting for expiration: efficacy of bioactive secondary compounds in affecting herbivore feeding preferences of medicinal leguminosae species in Moorea, French Polynesia",plant,Terrestrial,2009, , ,
"Chen,Irene","Combating the purple botanical plague: evaluation of Colletotrichum gloeosporioides f. sp. miconiae for biological control of Miconia calvescens in Moorea, French Polynesia",plant,Terrestrial,2009, , ,
"Desmet,Danielle","Seeking sponges: distribution of exposed Porifera in Mo'orea, French Polynesia",invert,marine,2009, , ,
"Dibble,Conor","Distribution, habitat preference, and competitive interactions of French Polynesian Bryozoa",invert,marine,2009, , ,
"Fletcher,Nicholas",Freshwater runoff effects on the diversity and colonization of coral rubble- inhabiting crustacean microcommunties,invert,marine,2009, , ,
"Hassen,Julia",Maturing motu? The geomorphology of Motu Tiahura with a focus on human impact,geology,Terrestrial,2009, , ,
"Hendrickson,Katie","Crustacean defense of host pocilloporid corals against predation by Drupella cornus, a corallivorous snail in Mo‚Äôorea, French Polynesia",invert,marine,2009, , ,
"Kobervig,Carolyn","Zooplankton of the fringing reef: substrate preference of demersal zooplankton, non-demersal zooplankton in the fringing reef environment, and the effects of the lunar cycle on zooplankton abundance",invert,marine,2009, , ,
"Lovenburg,Vanessa","Terrestrial gastropod distributional factors: native and nonnative forests, elevation, and predation on Mo‚Äôorea, French Polynesia",invert,Terrestrial,2009, , ,
"Maguire,Annie","Temporarily terrestrial tropicbirds: courtship and time budgets of White-tailed Tropicbirds (Phaethon lepturus) on Mo'orea, French Polynesia",bird,Terrestrial,2009, , ,
"Mansfield,Christine","The effects of density on intraspecific aggression in the Fiddler Crab, Uca crassipes, on Mo'orea, French Polynesia",invert,Terrestrial,2009, , ,
"Minnich,Amanda",Insidious island invasion: an exploration of Falcataria moluccana stand ecology,plant,Terrestrial,2009, , ,
"Ozog,Stosh","Balancing anti-predation and energetic needs: color polymorphism in the giant clam, Tridacna maxima",invert,marine,2009, , ,
"Pena,Danielle",One jump ahead: interspecies interactions and distribution of jumping spiders on Mo'orea,invert,Terrestrial,2009, , ,
"Pickard,Alexandria",Long-term implications of coastal use in the construction of royal coastal marae,archeology,Terrestrial,2009, , ,
"Title,Alexandra","A comparative study of Scleractinian coral diversity in Mo'orea, French Polynesia, and the Great Barrier Reef, Australia",coral,marine,2009, , ,
"Wilcox,Rebecca","Tropical island invaders: Swamp Harrier (Circus approximans) behavior and seabird predation on Mo‚Äôorea, French Polynesia",bird,Terrestrial,2009, , ,
"Will,Ian","Host preference, detection, and dependence: the ectoparasitic gastropods Melanella acicula and Peasistilifer nitidula (Eulimidae) on holothurian hosts",invert,marine,2009, , ,
"Wilson,Ryan","Marine gastropod distribution around a motu in Moorea, French Polynesia",invert,marine,2009, , ,
"Zizka,Maria","Sea urchins on the move: distribution change of Echinometra in Mo'orea, French Polynesia",invert,marine,2009, , ,
"Bell,Jennifer",Feeding preferences of the cushion star Culcita novaeguineae in the presence of the crown of thorns starfish Acanthaster planci,invert,marine,2008, , ,
"Brightwater,Franklin","A preliminary survey of distribution and age structure in the invasive ornamental palm Dypsis madagascariensis, on Moorea French Polynesia",plant,Terrestrial,2008, , ,
"Cox,Haley","The correlation between herbivory and medicinal activity in Thespesia populnea, Hibiscus tiliaceus and Hibiscus rosa-sinensis on Moorea, French Polynesia",plant,Terrestrial,2008, , ,
"Endo,Brandon",The effects of lunar cycling and fish predation on Dacapod larval abundances,invert,marine,2008, , ,
"Frei,Olivier","Community structure, circulation and seawater pH in a coral reef ecosystem (Moorea, French Polynesia)",coral,marine,2008, , ,
"Ginsberg,Benjamin",A survey of aggregated mushroom corals and the effects of water flow on sediment removal in Fungia Species,coral,marine,2008, , ,
"Hochrein,Heather","Corridors and plant invasions: A comparative study of the role of roadsides and hiking trails on plant invasions in Moorea, French Polynesia",plant,Terrestrial,2008, , ,
"Hoey,Jennifer","The effect of herbivory by the long-spined sea urchin, Diadema savignyi, on algae growth in the coral reefs of Moorea, French Polynesia",invert,marine,2008, , ,
"Liao,Irene","Pollination Biology and Reproductive Ecology of Scaevola taccada (Goodeniaceae) on Moorea, French Polynesia",plant,Terrestrial,2008, , ,
"McCoy,Brianna","Varying impact of human feeding on pink whiprays, Himantura fai, at two sites on Moorea",fish,marine,2008, , ,
"Miner,Ellarae",Fungal Decay Communities of Moorea on Inocarpus fagifer,plant,Terrestrial,2008, , ,
"Morrison,Caitlin","Defense of Pocilloporid corals by Trapezia serenei and Trapezia bidentata (Mo‚Äôorea, French Polynesia)",invert,marine,2008, , ,
"Murphy,Elizabeth","Using a terrestrial model ecosystem to examine the effects on planktonic shrimp of leachates and runoff from terrestrial sites impacted by pesticide use in Moorea, French Polynesia",invert,Terrestrial,2008, , ,
"Nagayama,Yoko","The aftermath of abandonment: Secondary succession in Cocos nucifera plantations on the island of Moorea, French Polynesia",plant,Terrestrial,2008, , ,
"Park,Albert","Effects of Marine Protected Areas on the population of Acanthaster planci in Moorea, French Polynesia",invert,marine,2008, , ,
"Rejas,Daniel","A preliminary survey of Apoidea (Anthophila) and their use of floral resources on the island of Mo‚Äôorea, French Polynesia",insect,Terrestrial,2008, , ,
"Richman,Sara","Epiphyte community dynamics on Pemphis acidula (Lythraceae) on reef islands in Moorea, French Polynesia",coral,marine,2008, , ,
"Van Zerr,Vanessa","One is the loneliest number: The effects of isolation on the behavioral interactions of juvenile land hermit crabs (Coenobitidae) from the motus of Mo‚Äôorea, French Polynesia",invert,marine,2008, , ,
"Yang,April",Spider diversity patterns on the island of Moorea,invert,Terrestrial,2008, , ,
"Bernstein,Whitney N.","The Microhabitat and Behavior of the Foraminifera Peneroplis pertusus (Forskal) on Fringing Feef, Moorea, French Polynesia",invert,marine,2007,"foraminifera, Peneroplis pertusus, Protozoa, microhabitat, bleaching, geotaxis, French Polynesia", ,
"Casanova,Alvara Palacios","Tentacles and the Phototropisn of the Bivalve Mollusk, L. fragilis in Moorea, French Polynesia",invert,marine,2007,"Limaria fragilis, tentacles, phototropic, Limidae, mollusk, bivalve", ,
"DeCosta,Jasmine C.","Tropical Rhodoliths: Abiotic Factors Influencing Morphology, Abundance, Distribution and Calcium Carbonate Contribution in Shallow Water Lagoons on Moorea, French Polynesia",algae,marine,2007,"rhodolith, coralline, distribution, calcium carbonate contribution, shallow water lagoon, Moorea, Frennch Polynesia", ,
"Fitch,Nina B.","Distribution and Role of Halimeda (Bropsidales/Halimedaceae) in Carbonate Production on Reefs in Moorea, French Polynesia",algae,marine,2007,"Halimeda, calcium carbonate, fringing reefs, barrier reefs, algal ridge, macroalgae, lagoon substrate, Moorea, French Polynesia", ,
"Fok,Elaine","Epiphyte Distribution with Respect to Microhabitats in Moorea, French Polynesia",plant,Terrestrial,2007,"epiphyte communities, distribution, edge effects, microhabitats, Inocarpus fagifer, Moorea, French Polynesia", ,
"Gillette,Greg","Invertebrate Succession Within the Fruit of Tahitian Chestnut Inncarpus fagifer in Moorea, French Polynesia",plant,Terrestrial,2007,"terrestrial invertebrates, arthropods, insects, pitfall traps, succession, Tahitian Chestnut, Inocarpus fagifer, fruit, Moorea, French Polynesia", ,
"Giusto,Bianca","The Diversity and Dispersal of Estuarine Infauna in Moorea, French Polynesia",invert,marine,2007,"estuary, infauna, benthic macroinvertebrates, community assemblage, diversity", ,
"Harris,Matthew W.","Surface Zooplankton Abundance and Diversity, and the Salinity Tolerances of the Subclass Copepoda and Crustacean Nauplii in Moorea, French Polynesia",invert,marine,2007,"Moorea, French Polynesia, Copepods, Veligers, Crustacean, Nauplii, zooplankton abundance, zooplankton diversity, reef pass, lagoon, salinity tolerance", ,
"Iglesias,Ilysa S.","Chemically Stimulated Behavior of the Hermit Crab Calcinus latens (Randall 1840) and the Role of Chemical Signaling as a Mode of Sensory Perception within the Coral Rubble Habitat of Moorea, French Polynesia",invert,marine,2007,"chemical cues, Calcinus latens, hermit crab behavior, Moorea, French Polynesia, coral rubble microhabitat, signaling, sensory perception", ,
"Johnson,Christina M.",Distribution and Habitat Features of the Sedge Kyllinga nemoralis on the Polynesian Island of Moorea,plant,Terrestrial,2007,"Sedge, Cyperaceae, Kyllinga nemoralis, rangelands, roadsides, Moorea, French Polynesia", ,
"Lin,Stephanie","The Distribution and Role of an Invasive Plant Species, Lantana camara, in Disturbed Roadside Habitats in Moorea, French Polynesia",plant,Terrestrial,2007,"Lantana camara, invasive species, anthropogenic disturbance, roadside habitat", ,
"Long,Elizabeth","Distribution and Stand Dynamics of the Falcata Tree, Paraserianthes (Albizia) Falcataria in Moorea, French Polynesia",plant,Terrestrial,2007,"invasive, agroforestry, forestry, Paraserianthes falcataria, Albizia falcataria, Falcataria moluccana, distribution mapping, GIS, disturvance, stand dynamics", ,
"McElroy,Matt T.","Thermal Ecoloty and Havitat Selection of Two Cryptic Skinks (Scincidae: Emioa cyanura, E. impar) on Morrea, French Polynesia",vertebrate,Terrestrial,2007,"lizards, skinks, microclimate, microenvironment, resource partitioning, thermoregulation, thermal preference, thermal specialist, thermal generalis, substrate selection, Squamata", ,
"McNaughton,Kerry","Leaf Litter Preference of Microgastropods (Mollusca) on Moorea, French Polynesia",invert,Terrestrial,2007,"Gastropoda, gastropod, microhabitat, snail, Hibiscus, Inocarpus, calcium content, decomposition", ,
"Minnameyer,Angela M.","Environmental Factors Affecting Microbial Mat Distribution in Moorea, French Polynesia",microbe,marine,2007,"microbial mats, hypersaline, French Polynesia, Lyngbya, Cyanobacteria, golf course, photosynthetic prokaryotes, mudflat", ,
"Novotny,Lauren M.",Intraguild Predation on Leucana leucocephala (Lam.) De Wi: Distribution of Heteropsylla cubana (Hemiptera; Psyllidae) and Predation and Competition by Olla v-nigrum (Coleoptera: Coccinellidae),insect,Terrestrial,2007,"intraguild predation, population distribution, Leucaena leucocephala, Olla v-nigrum, Heteropsylla cubana, cannibalism, interference, French Polynesia, South Pacific", ,
"Pocock,Katherine R.","Interspecific Competition Between Container Sharing Mosquito Larvae, Aedes aegypti (L.), Aedes polynesiensis Marks, and Culex quinquefasciatus Say, in Moorea, French Polynesia",insect,Terrestrial,2007,"Aedes poynesiensis, Aedes aegypti, Culex quinquefasciatus, larval competition, interspecific competition, emergence rates, competitive exclusion, mosquito", ,
"Rowlands,Myfanwy E.","Substrata Preference in Foraminifera of Fouling Communities in Moorea, French Polynesia",invert,marine,2007,"Benthic foraminifera, fouling community, succession, artificial substrate, assemblage, French Polynesia", ,
"Strausser,Matthew W.","Feeding Behavior of the Yellowtail Coris (Coris gamard) in the Lagoons of Moorea, French Polynesia",fish,marine,2007,"Coris gaimard, wrasse, yelowtailed Coris, foraging, phenotypic plasticity, optimal foraging, feeding behavior, interspecific foraging", ,
"Wininger,Kerry","Fair is Foul and Foul is Fair: Effects of Substrate Type and Age on the Composition of Fouling Communities in Moorea, French Polynesia",invert,marine,2007,"fouling community, hull fouling, richness, succession, disturbance, nonindigenous species, introduced species, Moorea, French Polynesia, ferry boats", ,
"Wong,Eileen","The Effects of Pineapple Farm Runoff on Diatoms in Freshwater Streams of Moorea, French Polynesia",invert,Terrestrial,2007,"diatoms, pineapples, agriculture, freshwater streams, Moorea, French Polynesia", ,
"Zerbib,Lauren","Seed Fate of the Tamanu Tree (Calophyllum inophyllum): Viability, Dispersal, and Predation and its Ecological Importance in Moorea, French Polynesia",plant,Terrestrial,2007,"seed fate, Calophyllum inophyllum, evergreen tree, life history, seed predation, seed dispersal, French Polynesia, germination", ,
"Alamaraz,Maya","Interspecific insect interactions and mutualism on the underside of Guava Psidium guajava leaves, Mo'orea, French Polynesia",insect,Terrestrial,2006,"ants, Hymenoptera, Formicidae, scale insects, mealy bug, Nipaecoccus nipae, guava, Psidium guajava, insects, arthropods, mutualism, tending, Moorea, French Polynesia", ,
"Bell,Thomas W.","Morphological and chemical differences among populations of Hibiscus tiliaceus along an elevational gradient in Moorea, French Polynesia",plant,Terrestrial,2006,"elevation, environmental pressures, bioscreen, Moorea, French Polynesia, flower, leaf, Hibiscus tiliaceus, chemical differences", ,
"Castillo,Jessica",Predator defense mechanisms in shallow water sea cucumbers (Holothuroidea),invert,marine,2006,"holothurians, defense, toxicity, Cuverian tubules, Moorea, French Polynesia", ,
"Chang,Carol","Ancient lawns in a modern day world: distribution and characterization of marine microbial mats at Temae Beach, Moorea, French Polynesia",microbe,marine,2006,"microbial mats, blue-grea algae, cyanobacteria, distribution, Moorea, French Polynesia, Marine mats, Temae Beach", ,
"Chinn,Sarah","Habitat distribution and comparison of brittle star (Echinodermata: Ophiuroidea) arm regeneration on Moorea, French Polynesia",invert,marine,2006,"echinoderm, ophiuroid, brittle star, autotomy, regeneration, intact arms, regenerating arms, Macrophiothrix longipeda, Ophiocoma scolopendrina", ,
"Dobbs,April M.","Factors influencing epiphyte habitat preference in Moorea, French Polynesia",plant,Terrestrial,2006,"epiphytes, habitat preference, Metrosideros collina, Moorea, French Polynesia", ,
"Ellison,Aimee",Habitat and bleaching in the foraminiferan Peneroplis pertusus,invert,marine,2006,"larger foraminifera, Peneroplis pertusus, bleaching, distribution, Mo'orea, French Polynesia, habitat", ,
"Ghazali,Sameen R.",Displays of defense: behavioral differences in antagonist avoidance in four opisthobranch mollusks,invert,marine,2006,"defense, inking, mantle flexations, rearing, opisthobranch, nudibranch, sea hare, Chromodorididae, Aplysiidae, Moorea, French Polynesia, Glossodoris cincta, Risbecia imperialis, Stylochelius striatus, Dolabrefera dolabrifera", ,
"Green,Andrew D.",Resource partitioning by wintering shorebirds: a behavioral comparison of two species in a tropical estuary,bird,Terrestrial,2006,"feeding behavior, Pluvialis fulva, Tringa incana, Moorea, French Polynesia, resource partitioning, estuary, shorebird", ,
"Groff,Margaret H.",Does the river continuum concept work in small island streams? Functional feeding group variation along a longitudinal gradient,invert,Terrestrial,2006,"River Continuum Concept, benthic macroinvertebrates, functional feeding groups, species richness, island streams, Moorea", ,
"Hanna,Zachary R.","Distribution and dispersal of the South Pacific tree, Fagraea berteriana (Loganiaceae)",plant,Terrestrial,2006,"Fagrea berteriana, tree, distribution, Moorea, French Polynesia, density, elevational gradient, germination, bird dispersal", ,
"Hata,Tom","Function, design, scaling, and sexual differences of dimorphic chelae in the land crab, Cardisoma carnifex",invert,Terrestrial,2006,"biomechanics, Brachyura, functional morphology, force generation, sexual dimorphism, Cardisoma carnifex, chelae", ,
"Hawkins,Sigrid V.","Feeding preference of the cushion star, Culcita novaeguineae, in Mo'orea",invert,marine,2006,"asteroid, Culcita novaeguineae, feeding preference, locomotion, Moorea, French Polynesia, predation", ,
"Himes,Julie E.","Ontogeny of defense: does life history affect predator response behavior in the pygmy octopus, Octopus bocki?",invert,marine,2006,"ontogeny, behavior, communication, Octopus bocki, pygmy octopus, predator response, Moorea, French Polynesia", ,
"Howell,Valerie B.",Is the Tamanu losing turf? Distribution and propogation of the economically important Calophyllum inophyllum of Moorea,plant,Terrestrial,2006,"Tamanu, Calophyllum inophyllum, Moorea, French Polynesia, ethnobotany", ,
"LaRue,Lori",A sediment study of Moorea's temae estuary,ecosystem,Terrestrial,2006,"estuary, sediment distribution, sediment cores, Moorea, French Polynesia, development", ,
